Año,Mes,id_Rubro,Rubro,indice,variación mensual
2019,6,3,Caños de PVC,119.817323788154,2.33224990335361
2019,6,5,Chapas galvanizadas,115.599207062881,0.955435712991704
2019,6,7,Hierro fundido,110.876068037284,0.468603282666846
2019,6,6,Conductores de cobre,118.269286064236,0
2019,7,1,Asfalto,115.985990805184,1.4889156509222
2019,7,2,Cales,111.410668826554,0
2019,7,4,Cemento portland,124.041232224,2.00000000000002
2019,7,8,Hierro redondo y acero para construcción,123.9366555,0
2019,7,9,Hormigón elaborado,122.17742784,0
2019,7,10,Ladrillos cerámicos,113.57665469637,1.65899192565573
2019,7,11,Ladrillos comunes,115.64332416,0
2019,7,12,Mosaicos graníticos y calcáreos,127.209373234423,10.3690068031607
2019,7,13,Pinturas para construcción,110.815531358091,0
2019,7,14,Pisos y revestimientos cerámicos,123.7707328,10
2019,7,17,Yeso,118.201372317,3
2019,7,15,Sanitarios de cerámica,129.403821124571,10.8550660958493
2019,7,16,Tubos estructurales,118.957133961534,2.64919775492569
2019,7,3,Caños de PVC,119.817323788154,-3.66373598126302E-13
2019,7,5,Chapas galvanizadas,116.74947626023,0.995049383620783
2019,7,7,Hierro fundido,109.878049639052,-0.90012066255466
2019,7,6,Conductores de cobre,118.269286064236,0
2019,8,1,Asfalto,133.565605361495,15.1566705895006
2019,8,2,Cales,113.617034873804,1.9803902718557
2019,8,4,Cemento portland,136.4453554464,10
2019,8,8,Hierro redondo y acero para construcción,167.314484925,35
2019,8,9,Hormigón elaborado,139.2822677376,14
2019,8,10,Ladrillos cerámicos,127.745548348313,12.4751813564333
2019,8,11,Ladrillos comunes,129.5205230592,12
2019,8,12,Mosaicos graníticos y calcáreos,142.7745353807,12.2358610458629
2019,8,13,Pinturas para construcción,124.66624148809,12.4988888834019
2019,8,14,Pisos y revestimientos cerámicos,136.14780608,10
2019,8,17,Yeso,135.93157816455,15
2019,8,15,Sanitarios de cerámica,130.685130406013,0.990163404996114
2019,8,16,Tubos estructurales,137.084741521993,15.238772956921
2019,8,3,Caños de PVC,143.082640577312,19.4173230160717
2019,8,5,Chapas galvanizadas,129.586659556726,10.9954954040929
2019,8,7,Hierro fundido,118.328984069065,7.69119442670654
2019,8,6,Conductores de cobre,145.838570657031,23.3106037165235
2019,9,1,Asfalto,140.176448461383,4.94951007933253
2019,9,2,Cales,126.10979072162,10.9954954040929
2019,9,4,Cemento portland,141.903169664256,4
2019,9,8,Hierro redondo y acero para construcción,172.33391947275,3
2019,9,9,Hormigón elaborado,144.853558447104,4
2019,9,10,Ladrillos cerámicos,131.577914798762,3
